Jobkey,Jobtitle,Company,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
2f67f4db111518b2,"Data Scientist, Global Patents",Google,San Francisco,CA,US,"San Francisco, CA","Tue, 06 Jun 2017 09:57:03 GMT",Experience in a statistical programming language like R or Python and applied machine learning techniques (i.e....,http://www.indeed.com/viewjob?jk=2f67f4db111518b2&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.774727,-122.41758,5 days ago
b6dc4790e4ba3787,Data Scientist,Cisco,San Francisco,CA,US,"San Francisco, CA","Tue, 06 Jun 2017 23:09:44 GMT","People, processes, data, and things. Strong experience with data analysis and software engineering. In this highly visible role as a Data Science Engineer, you...",http://www.indeed.com/viewjob?jk=b6dc4790e4ba3787&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.774727,-122.41758,4 days ago
299deb9ae19c52bf,Machine Learning Scientist,Tinder,Palo Alto,CA,US,"Palo Alto, CA","Thu, 08 Jun 2017 00:22:14 GMT",We are looking for a Machine Learning Scientist to help us explore a vast amount of data and derive knowledge from that data that can be used to improve our...,http://www.indeed.com/viewjob?jk=299deb9ae19c52bf&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.43956,-122.14286,3 days ago
07b54af3c14f11bf,Junior Data Scientist,Collective[i],San Francisco,CA,US,"San Francisco, CA","Fri, 02 Jun 2017 19:51:31 GMT","Some experience with data manipulation and analysis using SQL, noSQL, Java, C, SAS, and machine learning suites such as Mahout, Weka, and RapidMiner....",http://www.indeed.com/viewjob?jk=07b54af3c14f11bf&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.774727,-122.41758,8 days ago
d11b35c6c4eacf71,Data Scientist,Facebook,Menlo Park,CA,US,"Menlo Park, CA","Fri, 09 Jun 2017 23:56:48 GMT","Additionally, the ideal candidate will have a proven track record of thought leadership and impact in providing insights through analytics....",http://www.indeed.com/viewjob?jk=d11b35c6c4eacf71&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.453297,-122.18132,1 day ago
453bf49d191b6233,"Data Scientist, Analytics",Facebook,Menlo Park,CA,US,"Menlo Park, CA","Wed, 17 May 2017 20:41:53 GMT",The Data Scientist Analytics role has work across the following four areas:. WhatsApp is seeking a talented Data Scientist to join the WhatsApp Business and...,http://www.indeed.com/viewjob?jk=453bf49d191b6233&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.453297,-122.18132,24 days ago
b1c85853744407b2,Data Scientist,Pinterest,San Francisco,CA,US,"San Francisco, CA","Wed, 07 Jun 2017 06:13:01 GMT","2+ years of work experience applying scientific methods to solve-real-world problems on web scale data. You’ll apply quantitative analysis, modeling, and data...",http://www.indeed.com/viewjob?jk=b1c85853744407b2&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.772995,-122.40374,4 days ago
43ec402764db4ce7,"Data Scientist, Analytics",Zenefits,San Francisco,CA,US,"San Francisco, CA","Tue, 06 Jun 2017 00:27:56 GMT",Proven ability in implementing big data machine learning applications at scale and in production environment....,http://www.indeed.com/viewjob?jk=43ec402764db4ce7&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.760174,-122.41204,5 days ago
5e78d809093ed03b,Data Scientist,Tesla Motors,Fremont,CA,US,"Fremont, CA","Thu, 01 Jun 2017 02:19:18 GMT","3+ years of SQL development skills writing complex queries, transforming data, mining structured and unstructured data....",http://www.indeed.com/viewjob?jk=5e78d809093ed03b&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.546703,-121.98351,10 days ago
97c3c6f5fdd94d44,Data Scientist,Amazon Corporate LLC,Palo Alto,CA,US,"Palo Alto, CA","Tue, 30 May 2017 07:13:42 GMT","As a Data Scientist in our Machine Learning team, you will be responsible for data-driven improvements to our spoken language understanding models....",http://www.indeed.com/viewjob?jk=97c3c6f5fdd94d44&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.43956,-122.14286,12 days ago
e5e63394a5593baa,Data Scientist - (Summer Internship),Ticketfly,San Francisco,CA,US,"San Francisco, CA","Fri, 28 Apr 2017 18:02:19 GMT","Use data mining and machine learning to design and develop recommendation engines and other data products which drive user engagement, retention and...",http://www.indeed.com/viewjob?jk=e5e63394a5593baa&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.774727,-122.41758,30+ days ago
d488407e71579d9d,Data Scientist Intern,Adobe,San Jose,CA,US,"San Jose, CA","Sun, 21 May 2017 10:21:18 GMT","Human-Computer Interaction, Data Mining, Information Retrieval, Information Visualization, or Machine Learning....",http://www.indeed.com/viewjob?jk=d488407e71579d9d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.337914,-121.89011,21 days ago
be41577a9cafca29,Data Scientist With Machine Learning,Sumeru Solutions,Sunnyvale,CA,US,"Sunnyvale, CA","Sat, 03 Jun 2017 03:26:25 GMT","Use techniques from statistics, machine learning, and other data sciences to estimate predictive models from numeric, categorical, textual, geographic, and...",http://www.indeed.com/viewjob?jk=be41577a9cafca29&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL5WGjVDT7kwcMxpPj3_RVLG&indpubnum=3864921654995829&atk=1bibeffjl1d2v30q,37.4011,-122.00549,8 days ago
