Jobkey,Jobtitle,Company,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
5056a75dd46d437e,Data Scientist (Boston),QuantumBlack,Boston,MA,US,"Boston, MA","Sun, 28 May 2017 09:20:38 GMT","Use Maths, Stats and Machine learning to derive key insights across various industry sectors including formula 1, pharma, automotive and high-tech....",http://www.indeed.com/viewjob?jk=5056a75dd46d437e&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.357143,-71.05495,14 days ago
33e1266a48b2f806,Data Scientist,Decision Resources Group,Boston,MA,US,"Boston, MA","Wed, 07 Jun 2017 20:59:43 GMT",Perform deep dives into our real-world data assets searching for patterns and insights in specific areas of internal or customer interest....,http://www.indeed.com/viewjob?jk=33e1266a48b2f806&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.357143,-71.05495,3 days ago
279ec3a5dfb92edb,Data Scientist,Hopper,Cambridge,MA,US,"Cambridge, MA","Wed, 01 Mar 2017 08:00:34 GMT","Experience with data mining, machine learning, statistical modeling tools and underlying algorithms. Experience in Pandas, R, SAS or other tools appropriate for...",http://www.indeed.com/viewjob?jk=279ec3a5dfb92edb&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.373627,-71.10439,30+ days ago
944000f9eae8df4d,Data Scientist,Wayfair,Boston,MA,US,"Boston, MA","Wed, 17 May 2017 16:57:32 GMT","Data mining - uncover deep insight hidden in our vast repository of raw data, and provide tactical guidance on how act on findings....",http://www.indeed.com/viewjob?jk=944000f9eae8df4d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.3469,-71.07935,24 days ago
67e711f033c76749,Data Scientist,Amazon Corporate LLC,Cambridge,MA,US,"Cambridge, MA","Tue, 30 May 2017 19:02:36 GMT","As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models....",http://www.indeed.com/viewjob?jk=67e711f033c76749&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.373627,-71.10439,11 days ago
293e00dfc4ea2d2f,Data Scientist,DataRobot,Boston,MA,US,"Boston, MA","Sun, 23 Apr 2017 05:54:12 GMT","We are looking for talented people with excellent engineering skills and deep knowledge of Machine Learning who can analyze problems, develop innovative...",http://www.indeed.com/viewjob?jk=293e00dfc4ea2d2f&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.359837,-71.05412,30+ days ago
d17296a68774c379,Data Scientist Machine Learning,Broad Institute,Boston,MA,US,"Boston, MA","Fri, 19 May 2017 06:48:07 GMT","Experience with a scientific programming environment, such as R or Matlab, is preferred. By applying your computational and modeling skills to multimodal cancer...",http://www.indeed.com/viewjob?jk=d17296a68774c379&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.357143,-71.05495,23 days ago
a0e9638e32034178,Data Scientist - Freelance/Remote Consultant,SFL Scientific,Boston,MA,US,"Boston, MA","Sat, 20 May 2017 16:38:06 GMT","We are currently seeking a data scientist with expertise in computer vision and machine learning or NLP. A MS or PhD degree in Computer Science, Machine Vision,...",http://www.indeed.com/viewjob?jk=a0e9638e32034178&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.357143,-71.05495,21 days ago
c535229e80561366,Data Scientist,Burning Glass Technologies,Boston,MA,US,"Boston, MA","Tue, 06 Jun 2017 07:39:42 GMT",We seek an experienced data scientist to work on a range of initiatives related to structuring our data and identifying key trends in the job market and...,http://www.indeed.com/viewjob?jk=c535229e80561366&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.359657,-71.05595,5 days ago
d7e337f9f4432554,Data Scientist,Panjiva,Cambridge,MA,US,"Cambridge, MA","Wed, 24 May 2017 16:29:06 GMT","Panjiva’s award-winning and patented technology leverages machine learning to provide powerful search, analysis and visualization tools over more than a billion...",http://www.indeed.com/viewjob?jk=d7e337f9f4432554&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8v_nJhE6akqTP2CEnqjBU4Sep5KUJTkatjU2jTbT70wpBYm39n13ihkl51s1OPkcmptQI94s5DsPOzRyYMc52A&indpubnum=3864921654995829&atk=1bibehsqh1f9f59u,42.373627,-71.10439,17 days ago
