Jobkey,Jobtitle,Company,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
5650b81bd626aed9,Machine Learning Engineer,Lybrate,Delhi,DL,IN,"Delhi, Delhi","Thu, 13 Apr 2017 14:59:06 GMT",People in Data Scientist role at Lybrate are passionate for Internet technology and help further strategic decisions....,http://www.indeed.co.in/viewjob?jk=5650b81bd626aed9&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.664835,77.21429,30+ days ago
ddc4595b19fef5ac,Data Scientist,Fitfyles,New Delhi,DL,IN,"New Delhi, Delhi","Thu, 27 Apr 2017 12:33:39 GMT","As Data Scientist eager to jump into brand new learning experiences, you’ll have fun analyzing complex, massive data sets....",http://www.indeed.co.in/viewjob?jk=ddc4595b19fef5ac&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.634615,77.21978,30+ days ago
8e64c8e66e40be75,Lead Data Scientist - Machine Learning,Staffio HR,Delhi,DL,IN,"Delhi, Delhi","Thu, 08 Jun 2017 23:59:57 GMT","Big Data, Statistical Data Analysis, Machine Learning. Use of cutting edge data mining, machine learning techniques for building advanced customer solutions....",http://www.indeed.co.in/viewjob?jk=8e64c8e66e40be75&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.664835,77.21429,2 days ago
5bca70b0dce6e5af,Data Scientist,Socialcops,New Delhi,DL,IN,"New Delhi, Delhi","Thu, 16 Feb 2017 07:28:04 GMT","Data is at the core of everything we do at SocialCops, and our Data Scientists are the caretakers of this data....",http://www.indeed.co.in/viewjob?jk=5bca70b0dce6e5af&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.634615,77.21978,30+ days ago
0780d29c213ca280,Data Scientist,Crescendo Global Services,Delhi,DL,IN,"Delhi, Delhi","Tue, 30 May 2017 00:43:51 GMT",- Expertise in any two of these: JAVA/ Python/ SCALA/R - Minimum three years if experience in building machine learning algorithms - Exposure to Artificial,http://www.indeed.co.in/viewjob?jk=0780d29c213ca280&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.664835,77.21429,12 days ago
2571862698a89e56,Data Entry Internship,Twango,Delhi,DL,IN,"Delhi, Delhi","Thu, 08 Jun 2017 09:56:01 GMT","Perform data entry operations. Founded by by IIT alumni in collaboration with top psychologists, data scientists, Twango blends technology with human instinct &amp;...",http://www.indeed.co.in/viewjob?jk=2571862698a89e56&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.664835,77.21429,3 days ago
9557fa41c2d43f0c,Solar Analyst: Independent Engineering Team New Delhi,ICF,New Delhi,DL,IN,"New Delhi, Delhi","Mon, 29 May 2017 06:50:43 GMT","Strategists, social scientists and creatives. Writing, data and industry research, analysis, modelling, etc.). Independent Engineering Team New Delhi....",http://www.indeed.co.in/viewjob?jk=9557fa41c2d43f0c&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.634615,77.21978,13 days ago
4f7a9e745fba14d5,Data Engineer,Chegg India,New Delhi,DL,IN,"New Delhi, Delhi","Wed, 19 Apr 2017 10:20:20 GMT","Experience troubleshooting data quality issues, analyzing data requirements and utilizing big data systems. You will work alongside a team of data engineers,...",http://www.indeed.co.in/viewjob?jk=4f7a9e745fba14d5&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.634615,77.21978,30+ days ago
398142448d27d11d,Data Scientist - Machine Learning,OLX,Delhi,DL,IN,"Delhi, Delhi","Tue, 23 May 2017 07:50:12 GMT",We are looking for a Data Scientist - Machine Learning in our great office in Gurgaon. Building services for realtime data processing....,http://www.indeed.co.in/viewjob?jk=398142448d27d11d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.664835,77.21429,19 days ago
ecf55ac3b4872364,Data Scientists,Oxyent Medical Private limited,New Delhi,DL,IN,"New Delhi, Delhi","Fri, 19 May 2017 20:08:29 GMT","Contribute to data mining architectures,modelling standards,reporting and data analysis methodologies. Expert in operations research, applied statistics, data...",http://www.indeed.co.in/viewjob?jk=ecf55ac3b4872364&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el_ZtmubHVK20rphW8ZoQ7lbtUxFvClJ8ub47eK5ONldwtELQFceON3rXITm8l3_sCU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibev6d21frl6pu,28.634615,77.21978,22 days ago
