Jobkey,Jobtitle,Company,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
4de2111954f317a6,Data Scientist - Analytics & Machine Learning,Morgan Stanley,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 30 May 2017 14:59:45 GMT",We are seeking a Data Scientist with expertise in uncovering insights and identifying patterns with background in Data Technologies....,http://www.indeed.co.in/viewjob?jk=4de2111954f317a6&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,12.975275,77.5989,11 days ago
7168139640b5eebd,Data Scientist,DuPont,Hyderabad,TS,IN,"Hyderabad, Telangana","Tue, 30 May 2017 09:23:03 GMT","Data Scientist / Research Scientist - Data Science DuPont Pioneer is the world leader in plant biotechnology area including discovery, development and delivery...",http://www.indeed.co.in/viewjob?jk=7168139640b5eebd&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,17.373627,78.47253,12 days ago
3c985b38e3c1acd8,Machine Learning Engineer,Microsoft,Hyderabad,TS,IN,"Hyderabad, Telangana","Fri, 19 May 2017 07:11:11 GMT",Create language models from petabytes of text data in different languages. You will also get an opportunity to work on Big Data and employ ML techniques in...,http://www.indeed.co.in/viewjob?jk=3c985b38e3c1acd8&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,17.373627,78.47253,23 days ago
fa006e3bd1bee506,Data Scientist,Barclays,Pune,MH,IN,"Pune, Maharashtra","Tue, 16 May 2017 06:17:46 GMT","The ETL, Data and Big Data areas. Experience on Enterprise level ETL (Oracle), Data, Big Data (Hadoop ecosystem). And Big Data layer....",http://www.indeed.co.in/viewjob?jk=fa006e3bd1bee506&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,18.51923,73.85165,26 days ago
bdcd68eedd6c4fee,Machine Learning Engineer,Phenom People,Hyderabad,TS,IN,"Hyderabad, Telangana","Sat, 15 Apr 2017 09:11:28 GMT","Work closely with Machine Learning Scientists (PhDs), ML engineers, data scientists and data engineers to address challenges head on....",http://www.indeed.co.in/viewjob?jk=bdcd68eedd6c4fee&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,17.373627,78.47253,30+ days ago
c2edd1a74a973f22,USI MD - Eminence - Assistant Manager-Data Scientist-Hyderabad,Deloitte,,TS,IN,"Hyderabad, Telangana","Thu, 08 Jun 2017 15:29:26 GMT","The Data Scientist. Identify data analytics. Eminence CoE- Data Sciences. Data structures using computer programs/algorithms,....",http://www.indeed.co.in/viewjob?jk=c2edd1a74a973f22&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,17.25,78.5,2 days ago
5650b81bd626aed9,Machine Learning Engineer,Lybrate,Delhi,DL,IN,"Delhi, Delhi","Thu, 13 Apr 2017 14:59:06 GMT",People in Data Scientist role at Lybrate are passionate for Internet technology and help further strategic decisions....,http://www.indeed.co.in/viewjob?jk=5650b81bd626aed9&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,28.664835,77.21429,30+ days ago
b0f5688d25aae167,Data Analytics Internship,Qure.ai,Mumbai,MH,IN,"Mumbai, Maharashtra","Sat, 10 Jun 2017 09:47:02 GMT","We are a team of computer scientists, medical practitioners, and bioinformaticians. About the company:....",http://www.indeed.co.in/viewjob?jk=b0f5688d25aae167&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,19.013737,72.84615,1 day ago
76010cd188a34a65,Applied Scientist,ADSIPL - Karnataka,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 06 Jun 2017 23:43:39 GMT","Strong grasp of machine learning, data mining and data analytics techniques. Mentor other scientists and engineers in the use of ML techniques....",http://www.indeed.co.in/viewjob?jk=76010cd188a34a65&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,12.975275,77.5989,4 days ago
746cf20e9753bf3c,Data Scientist,AIG,Bangalore,KA,IN,"Bangalore, Karnataka","Fri, 09 Jun 2017 12:08:08 GMT"," Demonstrated ability to effectively interpret data and modeling results, distill actionable insights and present them to stakeholders....",http://www.indeed.co.in/viewjob?jk=746cf20e9753bf3c&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUZxL1zChcII-VCmNVEIlj_x0Kl7s-AlsIz597n2T9M1CDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bibf03u01d4j0p7,12.975275,77.5989,1 day ago
