Jobkey,Jobtitle,Company,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
45e89a248fe79f15,Freelance Data Scientist,Fractl,Remote,,US,Remote,"Sat, 10 Jun 2017 09:28:40 GMT","Fluency in a statistical programming language, like R or Python, and a database querying language like SQL. We’re looking for a Data Scientist who can reveal...",http://www.indeed.com/viewjob?jk=45e89a248fe79f15&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,25.0,-40.0,1 day ago
2ea8b5f37d11961a,Data Scientist,Dstillery,New York,NY,US,"New York, NY","Wed, 07 Jun 2017 14:25:01 GMT","Expertise in statistical modeling, machine learning, and optimization, and fluency in the related technical tools (Python or R preferred)....",http://www.indeed.com/viewjob?jk=2ea8b5f37d11961a&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,40.71154,-74.00549,3 days ago
750e87ff076eba6e,Data Scientist,CareMessage,Remote,,US,Remote,"Wed, 24 May 2017 23:33:42 GMT","Over the last year, CareMessage has tripled in size, quadrupled its total customer base and achieved significant revenue growth (including partnering with some...",http://www.indeed.com/viewjob?jk=750e87ff076eba6e&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,25.0,-40.0,17 days ago
a07eb0c9d7aaa205,Junior Data Analyst,Certilytics,Remote,,US,Remote,"Thu, 25 May 2017 05:52:32 GMT","Our team represents a dynamic infusion of multidiscipline which includes actuarial, data and behavioral scientists, IT engineers, software developers, nurse...",http://www.indeed.com/viewjob?jk=a07eb0c9d7aaa205&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,25.0,-40.0,17 days ago
2174fe1a11b60191,Data Scientist,UC San Diego,San Diego,CA,US,"San Diego, CA","Wed, 07 Jun 2017 23:20:12 GMT","Fluency in information technologies, including high level of proficiency and understanding with data mapping, data mining and statistical software tools, (SPSS,...",http://www.indeed.com/viewjob?jk=2174fe1a11b60191&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,32.714287,-117.15385,3 days ago
556c1b09c5476978,Data Scientist,Certilytics,Remote,,US,Remote,"Tue, 16 May 2017 05:52:17 GMT","Our team represents a dynamic infusion of multidiscipline which includes actuarial, data and behavioral scientists, IT engineers, software developers, nurse...",http://www.indeed.com/viewjob?jk=556c1b09c5476978&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,25.0,-40.0,26 days ago
77be2b9c3776bd7c,Data Scientist,Telus International,Home Based,,US,Home Based,"Mon, 05 Jun 2017 11:04:54 GMT","Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our...",http://www.indeed.com/viewjob?jk=77be2b9c3776bd7c&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,25.0,-40.0,6 days ago
2f67f4db111518b2,"Data Scientist, Global Patents",Google,San Francisco,CA,US,"San Francisco, CA","Tue, 06 Jun 2017 09:57:03 GMT",Experience in a statistical programming language like R or Python and applied machine learning techniques (i.e....,http://www.indeed.com/viewjob?jk=2f67f4db111518b2&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,37.774727,-122.41758,5 days ago
bfc3e98d1fc71f2a,Data Scientist,Chevron,Houston,TX,US,"Houston, TX","Wed, 07 Jun 2017 23:13:39 GMT","Demonstrated depth in advanced analytics technologies (e.g., data science, operations research, statistics, data mining)....",http://www.indeed.com/viewjob?jk=bfc3e98d1fc71f2a&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,29.760988,-95.36264,3 days ago
d488407e71579d9d,Data Scientist Intern,Adobe,San Jose,CA,US,"San Jose, CA","Sun, 21 May 2017 10:21:18 GMT","Human-Computer Interaction, Data Mining, Information Retrieval, Information Visualization, or Machine Learning....",http://www.indeed.com/viewjob?jk=d488407e71579d9d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el9CgLkoWRrDTuxuXwltiBnwapNDZ_xWj7GJR16blBPPCv_iJH-SgEHnaNA_Z7KQGm81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3864921654995829&atk=1bibf37i51d4a52v,37.337914,-121.89011,21 days ago
