Jobkey,Jobtitle,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
4d56dc8dbcb17c2e,Data Scientist: Advanced Analytics,,,IN,India,"Mon, 27 Mar 2017 20:01:40 GMT","Will be able to manage and help to grow the Data Science team. Hands on experience in data mining and machine learning methods like SVM, Regression Modeling,...",http://www.indeed.co.in/viewjob?jk=4d56dc8dbcb17c2e&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,,,14 days ago
1fcc3e76efb71d80,Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 30 Mar 2017 10:16:06 GMT","As a data scientist, you’d be working towards developing cutting edge products and solutions that are based on state of the art machine learning algorithms....",http://www.indeed.co.in/viewjob?jk=1fcc3e76efb71d80&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,12.975275,77.5989,12 days ago
8bb81ee54e2c5811,"Data Scientist - OrgSolutions, McKinsey Solutions",New Delhi,DL,IN,"New Delhi, Delhi","Mon, 13 Feb 2017 17:35:02 GMT","As one of the fastest-growing parts of our firm, New Ventures has more than 1,000 dedicated professionals (including more than 800 analysts and data scientists)...",http://www.indeed.co.in/viewjob?jk=8bb81ee54e2c5811&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,28.634615,77.21978,30+ days ago
1659078bc98c8660,Data Scientist (Intern),Hyderabad,AP,IN,"Hyderabad, Andhra Pradesh","Mon, 03 Apr 2017 08:23:39 GMT","Work on a small data science team in charge of data mining, predictive modeling and analytics design. Strong technical skills regarding data analysis, machine...",http://www.indeed.co.in/viewjob?jk=1659078bc98c8660&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,17.373627,78.47253,8 days ago
e4239b0a79dc86d6,Data Scientist,Pune,MH,IN,"Pune, Maharashtra","Fri, 24 Mar 2017 05:58:13 GMT",Build mathematical models using the data; Create visualizations to aid in understanding data; Use data and analytical ability to find and interpret rich data...,http://www.indeed.co.in/viewjob?jk=e4239b0a79dc86d6&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,18.51923,73.85165,18 days ago
00764778f3941899,RPA- Data Scientist / Machine learning,Bangalore,KA,IN,"Bangalore, Karnataka","Wed, 22 Mar 2017 07:43:59 GMT","Job Description for Machine Learning and Data Scientists. Proficient in Natural Language Processing techniques, ability to work with large amount of data and...",http://www.indeed.co.in/viewjob?jk=00764778f3941899&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,12.975275,77.5989,20 days ago
e18dabeea8e48fef,Machine Learning Engineer,Hyderabad,AP,IN,"Hyderabad, Andhra Pradesh","Fri, 17 Mar 2017 08:20:57 GMT",Create language models from petabytes of text data in different languages. You will also get an opportunity to work on Big Data and employ ML techniques in...,http://www.indeed.co.in/viewjob?jk=e18dabeea8e48fef&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,17.373627,78.47253,25 days ago
ac6663a90377f9c5,Data Scientist,Hyderabad,AP,IN,"Hyderabad, Andhra Pradesh","Thu, 16 Feb 2017 17:34:35 GMT","POC/ POV / IP in Data Science and Big Data Analytics. Of complex data sets using data visualization such as D3JS, Tableau, Open....",http://www.indeed.co.in/viewjob?jk=ac6663a90377f9c5&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,17.373627,78.47253,30+ days ago
bb261c0c542f384e,Data Scientist,Chennai,TN,IN,"Chennai, Tamil Nadu","Wed, 15 Feb 2017 06:20:10 GMT",Must have solid understanding of statistical modeling/machine learning/ data mining/ recommender systems concepts....,http://www.indeed.co.in/viewjob?jk=bb261c0c542f384e&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,13.085165,80.27473,30+ days ago
b8193f8772dd054d,Senior Data Scientist,Chennai,TN,IN,"Chennai, Tamil Nadu","Wed, 15 Feb 2017 06:20:04 GMT","Strong understanding of Algorithms, Data Structures and Machine Learning / Data Mining. Experience with Machine Learning / Data Mining open source tools,...",http://www.indeed.co.in/viewjob?jk=b8193f8772dd054d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,13.085165,80.27473,30+ days ago
3513a964189c3b55,Data Analyst / Data Science (PRO Team),Gurgaon,HR,IN,"Gurgaon, Haryana","Thu, 09 Mar 2017 18:06:35 GMT",Job Description We are looking for a Data Scientist to join Uber's Operations team to drive analytical insights for our APAC cities....,http://www.indeed.co.in/viewjob?jk=3513a964189c3b55&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op0JMtwlR3EgNzK6X4lSJJqKDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0tk0vbi64bf3,28.464285,77.03297,30+ days ago
